date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:33	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Feb%202024%2020:45:31%20GMT	https://themes247.net/robots.txt		(from )
23:45:34	75303/75303	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-slider-simple.html	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/home-slider-simple.html	(from )
23:45:35	1093/1093	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/assets/icon/favicon.png	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/assets/icon/favicon.png	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:35	1361/1361	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/assets/icon/apple-touch-icon-158-precomposed.png	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/assets/icon/apple-touch-icon-158-precomposed.png	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:36	2241/2241	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/assets/img/logo.png	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/assets/img/logo.png	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:36	76286/76286	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-slider-full-screen.html	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/home-slider-full-screen.html	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:37	66285/66285	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-hero-slideshow.html	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/home-hero-slideshow.html	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:38	64820/64820	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:37%20GMT	https://themes247.net/html5/construction-template/demo/home-hero-slideshow-2.html	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/home-hero-slideshow-2.html	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:38	73437/73437	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/style.css	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/style.css	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
23:45:40	63270/63270	---M--	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2000:49:36%20GMT	https://themes247.net/html5/construction-template/demo/home-header-fixed.html	C:/Users/fatma/Projelerim/doguBaglantiElemanlari/themes247.net/html5/construction-template/demo/home-header-fixed.html	(from https://themes247.net/html5/construction-template/demo/home-slider-simple.html)
